AES | ANF_CSE_LS-transpiled depth=56443  size=83201 ancilla=95 ops={'u': 50569, 'cx': 32624, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1153   size=1221   Toffoli_N=2950   Depth_N=2407  ancilla=100 ops={'cx': 481, 'mcx': 412, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=55772  size=82179 ancilla=100 ops={'u': 49922, 'cx': 32249, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1151   size=1231   Toffoli_N=2935   Depth_N=2401  ancilla=105 ops={'cx': 490, 'mcx': 413, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=55224  size=81295 ancilla=105 ops={'u': 49393, 'cx': 31894, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1162   size=1241   Toffoli_N=2950   Depth_N=2424  ancilla=110 ops={'cx': 493, 'mcx': 420, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=55258  size=81207 ancilla=110 ops={'u': 49330, 'cx': 31869, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1157   size=1251   Toffoli_N=2920   Depth_N=2407  ancilla=115 ops={'cx': 505, 'mcx': 418, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=54463  size=79925 ancilla=115 ops={'u': 48568, 'cx': 31349, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1161   size=1261   Toffoli_N=2874   Depth_N=2391  ancilla=120 ops={'cx': 521, 'mcx': 412, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=53521  size=78375 ancilla=120 ops={'u': 47634, 'cx': 30733, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1163   size=1271   Toffoli_N=2824   Depth_N=2373  ancilla=125 ops={'cx': 541, 'mcx': 402, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=52693  size=77345 ancilla=125 ops={'u': 46944, 'cx': 30393, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1172   size=1281   Toffoli_N=2774   Depth_N=2362  ancilla=130 ops={'cx': 561, 'mcx': 392, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=51814  size=76315 ancilla=130 ops={'u': 46254, 'cx': 30053, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1183   size=1291   Toffoli_N=2724   Depth_N=2353  ancilla=135 ops={'cx': 581, 'mcx': 382, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=50889  size=75285 ancilla=135 ops={'u': 45564, 'cx': 29713, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1193   size=1301   Toffoli_N=2674   Depth_N=2343  ancilla=140 ops={'cx': 601, 'mcx': 372, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=49995  size=74255 ancilla=140 ops={'u': 44874, 'cx': 29373, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1187   size=1311   Toffoli_N=2659   Depth_N=2333  ancilla=145 ops={'cx': 612, 'mcx': 371, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=49593  size=73759 ancilla=145 ops={'u': 44539, 'cx': 29212, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1197   size=1321   Toffoli_N=2676   Depth_N=2355  ancilla=150 ops={'cx': 615, 'mcx': 378, 'ccx': 316, 'measure': 8, 'x': 4}
